[Information]
CL5
V4.1
[InPatch]
IN PATCH,SOURCE,
CH 1,DANTE 1,
CH 2,DANTE 2,
CH 3,DANTE 3,
CH 4,DANTE 4,
CH 5,DANTE 5,
CH 6,DANTE 6,
CH 7,DANTE 7,
CH 8,DANTE 8,
CH 9,DANTE 9,
CH 10,DANTE 10,
CH 11,DANTE 11,
CH 12,DANTE 12,
CH 13,DANTE 13,
CH 14,DANTE 14,
CH 15,DANTE 15,
CH 16,DANTE 16,
CH 17,DANTE 17,
CH 18,DANTE 18,
CH 19,DANTE 19,
CH 20,DANTE 20,
CH 21,DANTE 21,
CH 22,DANTE 22,
CH 23,DANTE 23,
CH 24,DANTE 24,
CH 25,DANTE 25,
CH 26,DANTE 26,
CH 27,DANTE 27,
CH 28,DANTE 28,
CH 29,DANTE 29,
CH 30,DANTE 30,
CH 31,DANTE 31,
CH 32,DANTE 32,
CH 33,DANTE 33,
CH 34,DANTE 34,
CH 35,DANTE 35,
CH 36,DANTE 36,
CH 37,DANTE 37,
CH 38,DANTE 38,
CH 39,DANTE 39,
CH 40,DANTE 40,
CH 41,DANTE 41,
CH 42,DANTE 42,
CH 43,DANTE 43,
CH 44,DANTE 44,
CH 45,DANTE 45,
CH 46,DANTE 46,
CH 47,DANTE 47,
CH 48,DANTE 48,
CH 49,DANTE 49,
CH 50,DANTE 50,
CH 51,DANTE 51,
CH 52,DANTE 52,
CH 53,DANTE 53,
CH 54,DANTE 54,
CH 55,DANTE 55,
CH 56,DANTE 56,
CH 57,DANTE 57,
CH 58,DANTE 58,
CH 59,DANTE 59,
CH 60,DANTE 60,
CH 61,DANTE 61,
CH 62,DANTE 62,
CH 63,DANTE 63,
CH 64,DANTE 64,
CH 65,OMNI 1,
CH 66,OMNI 2,
CH 67,OMNI 3,
CH 68,OMNI 4,
CH 69,OMNI 5,
CH 70,OMNI 6,
CH 71,OMNI 7,
CH 72,OMNI 8,
STEREO INPUT 1L,FX 1A,
STEREO INPUT 1R,FX 1B,
STEREO INPUT 2L,FX 2A,
STEREO INPUT 2R,FX 2B,
STEREO INPUT 3L,FX 3A,
STEREO INPUT 3R,FX 3B,
STEREO INPUT 4L,FX 4A,
STEREO INPUT 4R,FX 4B,
STEREO INPUT 5L,FX 5A,
STEREO INPUT 5R,FX 5B,
STEREO INPUT 6L,FX 6A,
STEREO INPUT 6R,FX 6B,
STEREO INPUT 7L,FX 7A,
STEREO INPUT 7R,FX 7B,
STEREO INPUT 8L,FX 8A,
STEREO INPUT 8R,FX 8B,
INS CH 1,NONE,
INS CH 2,NONE,
INS CH 3,NONE,
INS CH 4,NONE,
INS CH 5,NONE,
INS CH 6,NONE,
INS CH 7,NONE,
INS CH 8,NONE,
INS CH 9,NONE,
INS CH 10,NONE,
INS CH 11,NONE,
INS CH 12,NONE,
INS CH 13,NONE,
INS CH 14,NONE,
INS CH 15,NONE,
INS CH 16,NONE,
INS CH 17,NONE,
INS CH 18,NONE,
INS CH 19,NONE,
INS CH 20,NONE,
INS CH 21,NONE,
INS CH 22,NONE,
INS CH 23,NONE,
INS CH 24,NONE,
INS CH 25,NONE,
INS CH 26,NONE,
INS CH 27,NONE,
INS CH 28,NONE,
INS CH 29,NONE,
INS CH 30,NONE,
INS CH 31,NONE,
INS CH 32,NONE,
INS CH 33,NONE,
INS CH 34,NONE,
INS CH 35,NONE,
INS CH 36,NONE,
INS CH 37,NONE,
INS CH 38,NONE,
INS CH 39,NONE,
INS CH 40,NONE,
INS CH 41,NONE,
INS CH 42,NONE,
INS CH 43,NONE,
INS CH 44,NONE,
INS CH 45,NONE,
INS CH 46,NONE,
INS CH 47,NONE,
INS CH 48,NONE,
INS CH 49,NONE,
INS CH 50,NONE,
INS CH 51,NONE,
INS CH 52,NONE,
INS CH 53,NONE,
INS CH 54,NONE,
INS CH 55,NONE,
INS CH 56,NONE,
INS CH 57,NONE,
INS CH 58,NONE,
INS CH 59,NONE,
INS CH 60,NONE,
INS CH 61,NONE,
INS CH 62,NONE,
INS CH 63,NONE,
INS CH 64,NONE,
INS CH 65,NONE,
INS CH 66,NONE,
INS CH 67,NONE,
INS CH 68,NONE,
INS CH 69,NONE,
INS CH 70,NONE,
INS CH 71,NONE,
INS CH 72,NONE,
INS2 CH 1,NONE,
INS2 CH 2,NONE,
INS2 CH 3,NONE,
INS2 CH 4,NONE,
INS2 CH 5,NONE,
INS2 CH 6,NONE,
INS2 CH 7,NONE,
INS2 CH 8,NONE,
INS2 CH 9,NONE,
INS2 CH 10,NONE,
INS2 CH 11,NONE,
INS2 CH 12,NONE,
INS2 CH 13,NONE,
INS2 CH 14,NONE,
INS2 CH 15,NONE,
INS2 CH 16,NONE,
INS2 CH 17,NONE,
INS2 CH 18,NONE,
INS2 CH 19,NONE,
INS2 CH 20,NONE,
INS2 CH 21,NONE,
INS2 CH 22,NONE,
INS2 CH 23,NONE,
INS2 CH 24,NONE,
INS2 CH 25,NONE,
INS2 CH 26,NONE,
INS2 CH 27,NONE,
INS2 CH 28,NONE,
INS2 CH 29,NONE,
INS2 CH 30,NONE,
INS2 CH 31,NONE,
INS2 CH 32,NONE,
INS2 CH 33,NONE,
INS2 CH 34,NONE,
INS2 CH 35,NONE,
INS2 CH 36,NONE,
INS2 CH 37,NONE,
INS2 CH 38,NONE,
INS2 CH 39,NONE,
INS2 CH 40,NONE,
INS2 CH 41,NONE,
INS2 CH 42,NONE,
INS2 CH 43,NONE,
INS2 CH 44,NONE,
INS2 CH 45,NONE,
INS2 CH 46,NONE,
INS2 CH 47,NONE,
INS2 CH 48,NONE,
INS2 CH 49,NONE,
INS2 CH 50,NONE,
INS2 CH 51,NONE,
INS2 CH 52,NONE,
INS2 CH 53,NONE,
INS2 CH 54,NONE,
INS2 CH 55,NONE,
INS2 CH 56,NONE,
INS2 CH 57,NONE,
INS2 CH 58,NONE,
INS2 CH 59,NONE,
INS2 CH 60,NONE,
INS2 CH 61,NONE,
INS2 CH 62,NONE,
INS2 CH 63,NONE,
INS2 CH 64,NONE,
INS2 CH 65,NONE,
INS2 CH 66,NONE,
INS2 CH 67,NONE,
INS2 CH 68,NONE,
INS2 CH 69,NONE,
INS2 CH 70,NONE,
INS2 CH 71,NONE,
INS2 CH 72,NONE,
