[Information]
CL5
V4.1
[MixName]
MIX,NAME,COLOR,ICON,
_01,MX 1,Orange,Blank,
_02,MX 2,Orange,Blank,
_03,MX 3,Orange,Blank,
_04,MX 4,Orange,Blank,
_05,MX 5,Orange,Blank,
_06,MX 6,Orange,Blank,
_07,MX 7,Orange,Blank,
_08,MX 8,Orange,Blank,
_09,MX 9,Orange,Blank,
_10,MX10,Orange,Blank,
_11,MX11,Orange,Blank,
_12,MX12,Orange,Blank,
_13,MX13,Orange,Blank,
_14,MX14,Orange,Blank,
_15,MX15,Orange,Blank,
_16,MX16,Orange,Blank,
_17,Fx 1,Orange,Effector,
_18,Fx 2,Orange,Effector,
_19,Fx 3,Orange,Effector,
_20,Fx 4,Orange,Effector,
_21,Fx 5,Orange,Effector,
_22,Fx 6,Orange,Effector,
_23,Fx 7,Orange,Effector,
_24,Fx 8,Orange,Effector,
