[Information]
CL5
V4.1
[PortRackPatch]
PORT RACK PATCH,SOURCE,
DANTE 1,MIX 1,
DANTE 2,MIX 2,
DANTE 3,MIX 3,
DANTE 4,MIX 4,
DANTE 5,MIX 5,
DANTE 6,MIX 6,
DANTE 7,MIX 7,
DANTE 8,MIX 8,
DANTE 9,MIX 9,
DANTE 10,MIX 10,
DANTE 11,MIX 11,
DANTE 12,MIX 12,
DANTE 13,MIX 13,
DANTE 14,MIX 14,
DANTE 15,MIX 15,
DANTE 16,MIX 16,
DANTE 17,MIX 17,
DANTE 18,MIX 18,
DANTE 19,MIX 19,
DANTE 20,MIX 20,
DANTE 21,MIX 21,
DANTE 22,MIX 22,
DANTE 23,MIX 23,
DANTE 24,MIX 24,
DANTE 25,MATRIX 1,
DANTE 26,MATRIX 2,
DANTE 27,MATRIX 3,
DANTE 28,MATRIX 4,
DANTE 29,MATRIX 5,
DANTE 30,MATRIX 6,
DANTE 31,MATRIX 7,
DANTE 32,MATRIX 8,
DANTE 33,STEREO L,
DANTE 34,STEREO R,
DANTE 35,MONO(C),
DANTE 36,MONITOR L,
DANTE 37,MONITOR R,
DANTE 38,MONITOR C,
DANTE 39,CUE L,
DANTE 40,CUE R,
DANTE 41,NONE,
DANTE 42,NONE,
DANTE 43,NONE,
DANTE 44,NONE,
DANTE 45,NONE,
DANTE 46,NONE,
DANTE 47,NONE,
DANTE 48,NONE,
DANTE 49,NONE,
DANTE 50,NONE,
DANTE 51,NONE,
DANTE 52,NONE,
DANTE 53,NONE,
DANTE 54,NONE,
DANTE 55,NONE,
DANTE 56,NONE,
DANTE 57,NONE,
DANTE 58,NONE,
DANTE 59,NONE,
DANTE 60,NONE,
DANTE 61,NONE,
DANTE 62,NONE,
DANTE 63,NONE,
DANTE 64,NONE,
OMNI 1,MIX 1,
OMNI 2,MIX 2,
OMNI 3,MIX 3,
OMNI 4,MIX 4,
OMNI 5,MIX 5,
OMNI 6,MIX 6,
OMNI 7,STEREO L,
OMNI 8,STEREO R,
REC 1,STEREO L,
REC 2,STEREO R,
SLOT1 1,MIX 1,
SLOT1 2,MIX 2,
SLOT1 3,MIX 3,
SLOT1 4,MIX 4,
SLOT1 5,MIX 5,
SLOT1 6,MIX 6,
SLOT1 7,MIX 7,
SLOT1 8,MIX 8,
SLOT1 9,MIX 9,
SLOT1 10,MIX 10,
SLOT1 11,MIX 11,
SLOT1 12,MIX 12,
SLOT1 13,MIX 13,
SLOT1 14,MIX 14,
SLOT1 15,MIX 15,
SLOT1 16,MIX 16,
SLOT2 1,MIX 17,
SLOT2 2,MIX 18,
SLOT2 3,MIX 19,
SLOT2 4,MIX 20,
SLOT2 5,MIX 21,
SLOT2 6,MIX 22,
SLOT2 7,MIX 23,
SLOT2 8,MIX 24,
SLOT2 9,MATRIX 1,
SLOT2 10,MATRIX 2,
SLOT2 11,MATRIX 3,
SLOT2 12,MATRIX 4,
SLOT2 13,MATRIX 5,
SLOT2 14,MATRIX 6,
SLOT2 15,MATRIX 7,
SLOT2 16,MATRIX 8,
SLOT3 1,STEREO L,
SLOT3 2,STEREO R,
SLOT3 3,MONO(C),
SLOT3 4,MONITOR L,
SLOT3 5,MONITOR R,
SLOT3 6,MONITOR C,
SLOT3 7,CUE L,
SLOT3 8,CUE R,
SLOT3 9,NONE,
SLOT3 10,NONE,
SLOT3 11,NONE,
SLOT3 12,NONE,
SLOT3 13,NONE,
SLOT3 14,NONE,
SLOT3 15,NONE,
SLOT3 16,NONE,
GEQ 1A,NONE,
GEQ 1B,NONE,
GEQ 2A,NONE,
GEQ 2B,NONE,
GEQ 3A,NONE,
GEQ 3B,NONE,
GEQ 4A,NONE,
GEQ 4B,NONE,
GEQ 5A,NONE,
GEQ 5B,NONE,
GEQ 6A,NONE,
GEQ 6B,NONE,
GEQ 7A,NONE,
GEQ 7B,NONE,
GEQ 8A,NONE,
GEQ 8B,NONE,
GEQ 9A,NONE,
GEQ 9B,NONE,
GEQ 10A,NONE,
GEQ 10B,NONE,
GEQ 11A,NONE,
GEQ 11B,NONE,
GEQ 12A,NONE,
GEQ 12B,NONE,
GEQ 13A,NONE,
GEQ 13B,NONE,
GEQ 14A,NONE,
GEQ 14B,NONE,
GEQ 15A,NONE,
GEQ 15B,NONE,
GEQ 16A,NONE,
GEQ 16B,NONE,
FX 1A,MIX 17,
FX 1B,NONE,
FX 2A,MIX 18,
FX 2B,NONE,
FX 3A,MIX 19,
FX 3B,NONE,
FX 4A,MIX 20,
FX 4B,NONE,
FX 5A,MIX 21,
FX 5B,NONE,
FX 6A,MIX 22,
FX 6B,NONE,
FX 7A,MIX 23,
FX 7B,NONE,
FX 8A,MIX 24,
FX 8B,NONE,
PRFX 1A,NONE,
PRFX 1B,NONE,
PRFX 2A,NONE,
PRFX 2B,NONE,
PRFX 3A,NONE,
PRFX 3B,NONE,
PRFX 4A,NONE,
PRFX 4B,NONE,
PRFX 5A,NONE,
PRFX 5B,NONE,
PRFX 6A,NONE,
PRFX 6B,NONE,
PRFX 7A,NONE,
PRFX 7B,NONE,
PRFX 8A,NONE,
PRFX 8B,NONE,
DIGITAL OUT 1,STEREO L,
DIGITAL OUT 2,STEREO R,
