[Information]
CS-R5
DSP-RX
V6.60
[InPatch]
IN PATCH,SOURCE,COMMENT
CH 1 A,NONE,# Blank,
CH 1 B,NONE,# Blank,
CH 2 A,NONE,# Blank,
CH 2 B,NONE,# Blank,
CH 3 A,NONE,# Blank,
CH 3 B,NONE,# Blank,
CH 4 A,NONE,# Blank,
CH 4 B,NONE,# Blank,
CH 5 A,NONE,# Blank,
CH 5 B,NONE,# Blank,
CH 6 A,NONE,# Blank,
CH 6 B,NONE,# Blank,
CH 7 A,NONE,# Blank,
CH 7 B,NONE,# Blank,
CH 8 A,NONE,# Blank,
CH 8 B,NONE,# Blank,
CH 9 A,NONE,# Blank,
CH 9 B,NONE,# Blank,
CH 10 A,NONE,# Blank,
CH 10 B,NONE,# Blank,
CH 11 A,NONE,# Blank,
CH 11 B,NONE,# Blank,
CH 12 A,NONE,# Blank,
CH 12 B,NONE,# Blank,
CH 13 A,NONE,# Blank,
CH 13 B,NONE,# Blank,
CH 14 A,NONE,# Blank,
CH 14 B,NONE,# Blank,
CH 15 A,NONE,# Blank,
CH 15 B,NONE,# Blank,
CH 16 A,NONE,# Blank,
CH 16 B,NONE,# Blank,
CH 17 A,NONE,# Blank,
CH 17 B,NONE,# Blank,
CH 18 A,NONE,# Blank,
CH 18 B,NONE,# Blank,
CH 19 A,NONE,# Blank,
CH 19 B,NONE,# Blank,
CH 20 A,NONE,# Blank,
CH 20 B,NONE,# Blank,
CH 21 A,NONE,# Blank,
CH 21 B,NONE,# Blank,
CH 22 A,NONE,# Blank,
CH 22 B,NONE,# Blank,
CH 23 A,NONE,# Blank,
CH 23 B,NONE,# Blank,
CH 24 A,NONE,# Blank,
CH 24 B,NONE,# Blank,
CH 25 A,NONE,# Blank,
CH 25 B,NONE,# Blank,
CH 26 A,NONE,# Blank,
CH 26 B,NONE,# Blank,
CH 27 A,NONE,# Blank,
CH 27 B,NONE,# Blank,
CH 28 A,NONE,# Blank,
CH 28 B,NONE,# Blank,
CH 29 A,NONE,# Blank,
CH 29 B,NONE,# Blank,
CH 30 A,NONE,# Blank,
CH 30 B,NONE,# Blank,
CH 31 A,NONE,# Blank,
