[Information]
CS-R5
DSP-RX
V6.60
[MtxName]
MATRIX,NAME,COLOR,ICON,
_01,MT 1,Orange,Blank,
_02,MT 2,Orange,Blank,
_03,MT 3,Orange,Blank,
_04,MT 4,Orange,Blank,
_05,MT 5,Orange,Blank,
_06,MT 6,Orange,Blank,
_07,MT 7,Orange,Blank,
_08,MT 8,Orange,Blank,
_09,MT 9,Orange,Blank,
_10,MT10,Orange,Blank,
_11,MT11,Orange,Blank,
_12,MT12,Orange,Blank,
_13,MT13,Orange,Blank,
_14,MT14,Orange,Blank,
_15,MT15,Orange,Blank,
_16,MT16,Orange,Blank,
_17,MT17,Orange,Blank,
_18,MT18,Orange,Blank,
_19,MT19,Orange,Blank,
_20,MT20,Orange,Blank,
_21,MT21,Orange,Blank,
_22,MT22,Orange,Blank,
_23,MT23,Orange,Blank,
_24,MT24,Orange,Blank,
_25,MT25,Orange,Blank,
_26,MT26,Orange,Blank,
_27,MT27,Orange,Blank,
_28,MT28,Orange,Blank,
_29,MT29,Orange,Blank,
_30,MT30,Orange,Blank,
_31,MT31,Orange,Blank,
_32,MT32,Orange,Blank,
_33,MT33,Orange,Blank,
_34,MT34,Orange,Blank,
_35,MT35,Orange,Blank,
_36,MT36,Orange,Blank,
