[Information]
CS-R5
DSP-RX
V6.60
[MuteDCAName]
DCA,NAME,COLOR,ICON,
DCA 1,DCA 1,Yellow,Blank,
DCA 2,DCA 2,Yellow,Blank,
DCA 3,DCA 3,Yellow,Blank,
DCA 4,DCA 4,Yellow,Blank,
DCA 5,DCA 5,Yellow,Blank,
DCA 6,DCA 6,Yellow,Blank,
DCA 7,DCA 7,Yellow,Blank,
DCA 8,DCA 8,Yellow,Blank,
DCA 9,DCA 9,Yellow,Blank,
DCA 10,DCA10,Yellow,Blank,
DCA 11,DCA11,Yellow,Blank,
DCA 12,DCA12,Yellow,Blank,
DCA 13,DCA13,Yellow,Blank,
DCA 14,DCA14,Yellow,Blank,
DCA 15,DCA15,Yellow,Blank,
DCA 16,DCA16,Yellow,Blank,
DCA 17,DCA17,Yellow,Blank,
DCA 18,DCA18,Yellow,Blank,
DCA 19,DCA19,Yellow,Blank,
DCA 20,DCA20,Yellow,Blank,
DCA 21,DCA21,Yellow,Blank,
DCA 22,DCA22,Yellow,Blank,
DCA 23,DCA23,Yellow,Blank,
DCA 24,DCA24,Yellow,Blank,
Mute 1,Mute 1,,,
Mute 2,Mute 2,,,
Mute 3,Mute 3,,,
Mute 4,Mute 4,,,
Mute 5,Mute 5,,,
Mute 6,Mute 6,,,
Mute 7,Mute 7,,,
Mute 8,Mute 8,,,
Mute 9,Mute 9,,,
Mute 10,Mute10,,,
Mute 11,Mute11,,,
Mute 12,Mute12,,,
