[Information]
CS-R5
DSP-RX
V6.60
[PortRackPatch]
PortRack PATCH,SOURCE,COMMENT
CS1 OMNI 1,NONE,# Blank,
CS1 OMNI 2,NONE,# Blank,
CS1 OMNI 3,NONE,# Blank,
CS1 OMNI 4,NONE,# Blank,
CS1 OMNI 5,NONE,# Blank,
CS1 OMNI 6,NONE,# Blank,
CS1 OMNI 7,NONE,# Blank,
CS1 OMNI 8,NONE,# Blank,
CS1 AES/EBU 1,NONE,# Blank,
CS1 AES/EBU 2,NONE,# Blank,
CS1 AES/EBU 3,NONE,# Blank,
CS1 AES/EBU 4,NONE,# Blank,
CS1 AES/EBU 5,NONE,# Blank,
CS1 AES/EBU 6,NONE,# Blank,
CS1 AES/EBU 7,NONE,# Blank,
CS1 AES/EBU 8,NONE,# Blank,
CS1 MY SLOT1 1,NONE,# Blank,
CS1 MY SLOT1 2,NONE,# Blank,
CS1 MY SLOT1 3,NONE,# Blank,
CS1 MY SLOT1 4,NONE,# Blank,
CS1 MY SLOT1 5,NONE,# Blank,
CS1 MY SLOT1 6,NONE,# Blank,
CS1 MY SLOT1 7,NONE,# Blank,
CS1 MY SLOT1 8,NONE,# Blank,
CS1 MY SLOT1 9,NONE,# Blank,
CS1 MY SLOT1 10,NONE,# Blank,
CS1 MY SLOT1 11,NONE,# Blank,
CS1 MY SLOT1 12,NONE,# Blank,
CS1 MY SLOT1 13,NONE,# Blank,
CS1 MY SLOT1 14,NONE,# Blank,
CS1 MY SLOT1 15,NONE,# Blank,
CS1 MY SLOT1 16,NONE,# Blank,
CS1 MY SLOT2 1,NONE,# Blank,
CS1 MY SLOT2 2,NONE,# Blank,
CS1 MY SLOT2 3,NONE,# Blank,
CS1 MY SLOT2 4,NONE,# Blank,
CS1 MY SLOT2 5,NONE,# Blank,
CS1 MY SLOT2 6,NONE,# Blank,
CS1 MY SLOT2 7,NONE,# Blank,
CS1 MY SLOT2 8,NONE,# Blank,
CS1 MY SLOT2 9,NONE,# Blank,
CS1 MY SLOT2 10,NONE,# Blank,
CS1 MY SLOT2 11,NONE,# Blank,
CS1 MY SLOT2 12,NONE,# Blank,
CS1 MY SLOT2 13,NONE,# Blank,
CS1 MY SLOT2 14,NONE,# Blank,
CS1 MY SLOT2 15,NONE,# Blank,
CS1 MY SLOT2 16,NONE,# Blank,
CS2 OMNI 1,NONE,# Blank,
CS2 OMNI 2,NONE,# Blank,
CS2 OMNI 3,NONE,# Blank,
CS2 OMNI 4,NONE,# Blank,
CS2 OMNI 5,NONE,# Blank,
CS2 OMNI 6,NONE,# Blank,
CS2 OMNI 7,NONE,# Blank,
CS2 OMNI 8,NONE,# Blank,
CS2 AES/EBU 1,NONE,# Blank,
CS2 AES/EBU 2,NONE,# Blank,
CS2 AES/EBU 3,NONE,# Blank,
CS2 AES/EBU 4,NONE,# Blank,
CS2 AES/EBU 5,NONE,# Blank,
CS2 AES/EBU 6,NONE,# Blank,
